warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(130).txt (44): Whitelist - calls to _add_library are not allowed by whitelist
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(167).txt (48): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 3
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(189).txt (76): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 3
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(271).txt (541): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(280).txt (867): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(371).txt (90): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(379).txt (49): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(381).txt (50): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(386).txt (460): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(387).txt (149): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(390).txt (469): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(402).txt (53): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(440).txt (54): Whitelist - calls to list_subdirectories are not allowed by whitelist
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(469).txt (110): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(477).txt (94): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(481).txt (53): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(491).txt (94): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 4
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(575).txt (167): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(586).txt (72): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(647).txt (39): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(656).txt (33): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 3
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(669).txt (109): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(672).txt (143): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(674).txt (199): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(81).txt (95): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 3
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(82).txt (20): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(84).txt (95): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 3
warn: C:\Users\Dael\Dropbox\Entwicklung\cmake_style\test\res\nav_tr_complete\CMakeLists(85).txt (20): CM001 - expected 1 occurences of ^add_library|add_executable$, but got 2
